Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,START,421.253,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,3910,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,STOP,440.029,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,4084,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,440.763,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,4091,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,468.804,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,4351,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,START,487.031,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,4521,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,STOP,509.852,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,4732,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,START,541.913,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,5030,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,STOP,546.245,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,5070,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,START,598.078,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,5551,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,STOP,651.510,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,6047,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,651.810,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,6050,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,654.900,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,6079,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,START,654.943,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,6079,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,STOP,684.483,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,6353,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,694.663,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,6448,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,701.127,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,6508,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,START,701.211,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,6509,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,STOP,775.553,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,7199,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,775.786,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,7201,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,780.585,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,7245,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,START,783.717,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,7274,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,STOP,791.481,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,7347,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,START,803.877,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,7462,NA,
